 Total Nb of available Diagnostics: ndiagt=   399
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
     1 |SDIAG1  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #1
     2 |SDIAG2  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #2
     3 |SDIAG3  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #3
     4 |SDIAG4  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #4
     5 |SDIAG5  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #5
     6 |SDIAG6  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #6
     7 |SDIAG7  |  1 |       |SU      L1|user-defined    |User-Defined U.pt Surface Diagnostic #7
     8 |SDIAG8  |  1 |       |SV      L1|user-defined    |User-Defined V.pt Surface Diagnostic #8
     9 |SDIAG9  |  1 |    10 |UU      L1|user-defined    |User-Defined U.vector Surface Diag.  #9
    10 |SDIAG10 |  1 |     9 |VV      L1|user-defined    |User-Defined V.vector Surface Diag. #10
    11 |UDIAG1  | 50 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #1
    12 |UDIAG2  | 50 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #2
    13 |UDIAG3  | 50 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #3
    14 |UDIAG4  | 50 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #4
    15 |UDIAG5  | 50 |       |SU      MR|user-defined    |User-Defined U.pt Model-Level Diag.  #5
    16 |UDIAG6  | 50 |       |SV      MR|user-defined    |User-Defined V.pt Model-Level Diag.  #6
    17 |UDIAG7  | 50 |    18 |UUR     MR|user-defined    |User-Defined U.vector Model-Lev Diag.#7
    18 |UDIAG8  | 50 |    17 |VVR     MR|user-defined    |User-Defined V.vector Model-Lev Diag.#8
    19 |UDIAG9  | 50 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic  #9
    20 |UDIAG10 | 50 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic #10
    21 |SDIAGC  |  1 |    22 |SM  C   L1|user-defined    |User-Defined Counted Surface Diagnostic
    22 |SDIAGCC |  1 |       |SM      L1|count           |User-Defined Surface Diagnostic Counter
    23 |ETAN    |  1 |       |SM      M1|m               |Surface Height Anomaly
    24 |SSH     |  1 |       |SM      M1|m               |Dynamic Sea Surface Height Anomaly
    25 |SSHIBC  |  1 |       |SM      M1|m               |Inverted Barometer (IB) Correction to Sea Surface Height
    26 |SSHNOIBC|  1 |       |SM      M1|m               |Sea Surface Height Anomaly without IB Correction (=SSH+SSHIBC)
    27 |ETANSQ  |  1 |       |SM P    M1|m^2             |Square of Surface Height Anomaly
    28 |DETADT2 |  1 |       |SM      M1|m^2/s^2         |Square of Surface Height Anomaly Tendency
    29 |THETA   | 50 |       |SMR     MR|degC            |Potential Temperature
    30 |SALT    | 50 |       |SMR     MR|psu             |Salinity
    31 |RELHUM  | 50 |       |SMR     MR|percent         |Relative Humidity
    32 |SALTanom| 50 |       |SMR     MR|psu             |Salt anomaly (=SALT-35; g/kg)
    33 |UVEL    | 50 |    34 |UUR     MR|m/s             |Zonal Component of Velocity (m/s)
    34 |VVEL    | 50 |    33 |VVR     MR|m/s             |Meridional Component of Velocity (m/s)
    35 |WVEL    | 50 |       |WM      LR|m/s             |Vertical Component of Velocity (r_units/s)
    36 |THETASQ | 50 |       |SMRP    MR|degC^2          |Square of Potential Temperature
    37 |SALTSQ  | 50 |       |SMRP    MR|(psu)^2         |Square of Salinity
    38 |SALTSQan| 50 |       |SMRP    MR|(psu)^2         |Square of Salt anomaly (=(SALT-35)^2 (g^2/kg^2)
    39 |UVELSQ  | 50 |    40 |UURP    MR|m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
    40 |VVELSQ  | 50 |    39 |VVRP    MR|m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
    41 |WVELSQ  | 50 |       |WM P    LR|m^2/s^2         |Square of Vertical Comp of Velocity
    42 |UE_VEL_C| 50 |    43 |UMR     MR|m/s             |Eastward Velocity (m/s) (cell center)
    43 |VN_VEL_C| 50 |    42 |VMR     MR|m/s             |Northward Velocity (m/s) (cell center)
    44 |UV_VEL_C| 50 |    44 |UMR     MR|m^2/s^2         |Product of horizontal Comp of velocity (cell center)
    45 |UV_VEL_Z| 50 |    45 |UZR     MR|m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
    46 |WU_VEL  | 50 |       |WU      LR|m.m/s^2         |Vertical Transport of Zonal Momentum
    47 |WV_VEL  | 50 |       |WV      LR|m.m/s^2         |Vertical Transport of Meridional Momentum
    48 |UVELMASS| 50 |    49 |UUr     MR|m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
    49 |VVELMASS| 50 |    48 |VVr     MR|m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
    50 |WVELMASS| 50 |       |WM      LR|m/s             |Vertical Mass-Weighted Comp of Velocity
    51 |PhiVEL  | 50 |    48 |SMR P   MR|m^2/s           |Horizontal Velocity Potential (m^2/s)
    52 |PsiVEL  | 50 |    51 |SZ  P   MR|m.m^2/s         |Horizontal Velocity Stream-Function
    53 |UTHMASS | 50 |    54 |UUr     MR|degC.m/s        |Zonal Mass-Weight Transp of Pot Temp
    54 |VTHMASS | 50 |    53 |VVr     MR|degC.m/s        |Meridional Mass-Weight Transp of Pot Temp
    55 |WTHMASS | 50 |       |WM      LR|degC.m/s        |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
    56 |USLTMASS| 50 |    57 |UUr     MR|psu.m/s         |Zonal Mass-Weight Transp of Salinity
    57 |VSLTMASS| 50 |    56 |VVr     MR|psu.m/s         |Meridional Mass-Weight Transp of Salinity
    58 |WSLTMASS| 50 |       |WM      LR|psu.m/s         |Vertical Mass-Weight Transp of Salinity
    59 |UVELTH  | 50 |    60 |UUR     MR|degC.m/s        |Zonal Transport of Pot Temp
    60 |VVELTH  | 50 |    59 |VVR     MR|degC.m/s        |Meridional Transport of Pot Temp
    61 |WVELTH  | 50 |       |WM      LR|degC.m/s        |Vertical Transport of Pot Temp
    62 |UVELSLT | 50 |    63 |UUR     MR|psu.m/s         |Zonal Transport of Salinity
    63 |VVELSLT | 50 |    62 |VVR     MR|psu.m/s         |Meridional Transport of Salinity
    64 |WVELSLT | 50 |       |WM      LR|psu.m/s         |Vertical Transport of Salinity
    65 |UVELPHI | 50 |    66 |UUr     MR|m^3/s^3         |Zonal Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    66 |VVELPHI | 50 |    65 |VVr     MR|m^3/s^3         |Merid. Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    67 |RHOAnoma| 50 |       |SMR     MR|kg/m^3          |Density Anomaly (=Rho-rhoConst)
